Open,High,Low,Volume,Adj Close
3888,3969,3808,996,3753.255127
3908,4048,3908,1194,3811.446533
3925,3966,3821.100098,2462,3781.846924
3975,3975,3856.050049,1240,3751.764648
3882,3950,3882,711,3768.968262
3969,3969,3860,836,3743.308105
3870,3899,3799.949951,461,3681.414551
3855,3880,3763.050049,279,3637.158203
3799,3815,3748.5,149,3644.173096
3830,3835,3756,647,3636.389404
3790,3850,3790,499,3675.936523
3805,3870,3800,91,3661.760742
3855,3855,3762,589,3654.69751
3801,3849.949951,3800,757,3689.24707
3975,4003,3870,1060,3734.946289
3945,3948,3890,1221,3747.776123
3999,3999,3881,566,3733.360596
3760,3890,3760,440,3701.837158
3850,3850,3810,502,3675.840088
3840,3840,3810,195,3670.026611
3840,3840,3815,1324,3684.586182
3840,3849.949951,3818,2044,3685.018555
3870,3870,3820,4926,3680.982178
3840,3840,3800,623,3665.412354
3830,3830,3755,510,3618.945801
3799.850098,3809.75,3758,393,3635.523926
3829,3850,3793,11693,3657.002686
3830,3840,3800,695,3678.7229
3805,3810,3775,1096,3648.979004
3800,3800,3750,646,3614.140869
3719,3794.949951,3719,408,3605.922852
3800,3800,3715.100098,864,3599.243408
3740,3810,3717,931,3586.797607
3770,3774,3722,1137,3613.563721
3800,3805,3701,1474,3607.604736
3799.949951,3805,3700,1602,3582.136719
3790,3800,3685,1487,3553.881104
3750,3750,3700,761,3562.818604
3750,3775,3700,1467,3566.518799
3659,3750,3659,1077,3570.218994
3750,3750,3660,1390,3541.098877
3640,4421.5,3640,23547,4173.674316
4351,4351,4030,10646,3904.670654
4240,4299,4105,2635,4039.89209
4225,4601,4225,10739,4294.047363
3950,4490,3910.550049,3983,4224.033203
4499.899902,5170,4450.100098,20320,4591.400879
4700,4975,4500,7169,4478.811523
4600,4870,4550,5388,4436.524414
4700,5339,4700,16320,4958.480957
5340,5398.899902,5050,14076,4992.887207
5288,5547,5150,19312,5269.240234
5550,5700,5450,14004,5402.444336
5774,6745.600098,5774,25144,6482.973633
7294.399902,7420.200195,7079,5612,7131.30957
8162.25,8162.25,7610,74852,7835.289063
8262,8968,7610.149902,64627,7735.100586
7899,8580,7351,36208,7571.668457
7998,8199.950195,7625,22461,7384.357422
7750,7900,6930,16495,6735.205078
7008.049805,7199.850098,6380,19110,6226.292969
6295,7123.350098,6001,17354,6848.94873
7600,7680,7200,21594,7168.302734
7650,7975,7410.100098,16526,7273.150879
7850,8000,7570.049805,11137,7332.1875
7800,7800,7312,6984,7116.189453
7400,7575,7210,4981,6976.34375
7460,7500,7260.049805,4972,7025.714844
7300,7750,7180,7315,6972.930664
7450,7450,6700,7848,6528.005859
6900,6998,6335.200195,7173,6362.583496
6900,6900,6601.100098,4431,6418.832031
